unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 04:05:00-04:00,118.21,119.084496,118.806946,118.85697,118.88253,119.0768,119.14036,118.85123,118.81742,118.78248,119.43613,118.451744,118.75,0
NVDA,2024-09-03 04:10:00-04:00,118.0,119.063225,118.7771,118.785645,118.88349,119.147064,119.12619,118.82676,118.80159,118.76416,119.29905,118.446495,118.75,1
NVDA,2024-09-03 04:15:00-04:00,118.12,119.065865,118.800095,118.80942,118.881966,119.19676,119.12885,118.87278,118.81668,118.774895,119.36419,118.45958,118.75,2
NVDA,2024-09-03 04:20:00-04:00,117.85,119.00358,118.806595,118.8006,118.88628,119.22092,119.11654,118.871925,118.7965,118.7671,119.41098,118.491356,118.75,3
NVDA,2024-09-03 04:25:00-04:00,117.69,119.0048,118.785904,118.78534,118.88634,119.21224,119.12109,118.89836,118.790855,118.762665,119.33235,118.54247,118.75,4
NVDA,2024-09-03 04:30:00-04:00,117.3,118.98959,118.83373,118.7504,118.912315,119.22494,119.11845,118.87553,118.77223,118.74366,119.36512,118.5828,118.75,5
NVDA,2024-09-03 04:35:00-04:00,117.35,118.36548,117.45609,117.37193,117.426346,118.7237,118.99782,117.4393,117.38882,117.325966,118.43913,118.11762,117.3,0
NVDA,2024-09-03 04:40:00-04:00,117.69,118.27001,117.42855,117.49442,117.45357,118.77264,118.981575,117.43839,117.48002,117.229095,118.314835,118.11768,117.3,1
NVDA,2024-09-03 04:45:00-04:00,117.63,118.18227,117.452255,117.63025,117.42231,118.82973,118.96228,117.643234,117.619484,117.20577,118.374565,118.11774,117.3,2
NVDA,2024-09-03 04:50:00-04:00,117.09,118.14983,117.49096,117.70744,117.392815,118.84832,118.96349,117.73753,117.679085,117.232956,118.457405,118.118,117.3,3
NVDA,2024-09-03 04:55:00-04:00,116.96,118.077194,117.46278,117.77816,117.40491,118.831795,118.962685,117.87649,117.79761,117.26732,118.40525,118.11843,117.3,4
